Name,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid
"Stuffed pork roast, Puerto Rican style",1.92,18.75,8.11
"Pork stew, with potatoes, tomato-based sauce, Mexican style",5.06,13.08,3.84
Lamb or mutton loaf,7.42,13.1,11.04
Lamb or mutton and potatoes with gravy,12.53,5.13,6.46
Lamb or mutton and potatoes with tomato-based sauce,12.48,5.26,6.22
Lamb or mutton and noodles with gravy,15.63,6.8,5.48
Meat loaf made with venison/deer,6.3,19.03,6.68
Veal and noodles with cream or white sauce,14.48,8.34,5.64
Venison or deer and noodles with cream or white sauce,14.48,8.36,5.3
Chicken or turkey hash,8.16,9.64,4.1
Chicken or turkey and potatoes with gravy,8.9,7.26,6.31
"Chicken or turkey and noodles, no sauce",15.47,7.73,6.14
Chicken or turkey and noodles with gravy,15.23,6.99,5.67
Chicken or turkey and noodles with mushroom sauce,14.87,6.92,5.44
Chicken or turkey and noodles with cream or white sauce,15.23,7.38,5.44
Chicken or turkey and noodles with cheese sauce,13.56,8.95,6.16
Chicken or turkey tetrazzini,6.96,11.96,4.76
Chicken or turkey and noodles with tomato-based sauce,15.17,7.12,5.44
Chicken or turkey and noodles with soy-based sauce,7.69,11.6,9.02
"Chicken or turkey and rice, no sauce",16.97,6.46,5.84
Biryani with chicken,13.57,7.15,2.36
Chicken or turkey and rice with cream sauce,12.78,8.12,5.8
Chicken or turkey and rice with mushroom sauce,15.44,5.67,5.47
Chicken or turkey and rice with tomato-based sauce,15.66,5.72,6.18
Chicken or turkey and rice with soy-based sauce,8.11,11.96,9.22
Chicken or turkey with dumplings,7.95,15.64,5.49
Chicken or turkey with stuffing,11.74,20.04,4.88
"Chicken or turkey cake, patty, or croquette",2.56,20.85,18.7
Chicken or turkey souffle,5.5,11.74,11.04
Meat loaf made with chicken or turkey,8.06,18.78,7.24
"Meat loaf made with chicken or turkey, with tomato-based sauce",7.29,15.47,6.16
"Clams, stuffed",12.94,11.87,11.08
Codfish ball or cake,10.57,14.32,9.85
Crab cake,2.58,14.57,14.75
"Fish cake or patty, NS as to fish",10.31,13.93,13.06
Gefilte fish,1.03,17.52,3.8
Salmon cake or patty,2.58,17.12,18.16
Salmon loaf,9.11,15.82,9.91
Scallops and noodles with cheese sauce,15.05,8.46,5.64
"Shrimp and noodles, no sauce",16.43,7.3,5.5
Shrimp and noodles with gravy,14.7,6.02,5.18
Shrimp and noodles with mushroom sauce,15.05,6.31,5.23
Shrimp and noodles with cream or white sauce,16.25,7.13,5.25
Shrimp and noodles with soy-based sauce,8.26,10.21,7.25
Shrimp and noodles with cheese sauce,13.45,8.18,5.37
Shrimp and noodles with tomato sauce,15.39,6.46,5.22
Tuna loaf,9.32,21.08,11.86
Tuna cake or patty,2.63,15.34,14.88
Clam cake or patty,6.77,19.04,15.31
Oyster fritter,5.22,6.93,16.22
Flounder with crab stuffing,5.72,15.08,5.49
"Lobster with bread stuffing, baked",9.83,14.98,8.16
Clams Casino,9.83,8.73,4.72
Mackerel cake or patty,10.76,16.54,17.63
Haddock cake or patty,10.31,13.93,13.06
Shrimp cake or patty,3.67,18.1,15.45
Shrimp with crab stuffing,6.09,16.39,8.94
"Shrimp toast, fried",11.73,8.45,15.48
Seafood restructured,15.0,7.62,0.46
Seafood souffle,5.49,9.91,9.73
Tuna noodle casserole with cream or white sauce,15.4,10.12,7.18
Tuna noodle casserole with mushroom sauce,13.92,9.02,5.13
Tuna and rice with mushroom sauce,15.39,4.57,5.16
Fish and rice with tomato-based sauce,16.53,5.41,5.12
Fish and rice with cream sauce,15.75,5.53,4.92
Fish and rice with mushroom sauce,16.12,5.34,5.15
Fish and noodles with mushroom sauce,14.79,6.3,5.1
Shellfish and noodles with tomato-based sauce,15.74,6.58,5.04
"Stewed salmon, Puerto Rican style",8.47,12.02,7.02
"Meat loaf, NS as to type of meat",7.19,17.5,10.98
"Meatballs, with breading, NS as to type of meat, with gravy",6.28,12.22,7.5
Meat loaf made with beef and pork,7.17,17.28,10.44
"Meat loaf made with beef, veal and pork",7.17,17.28,10.44
"Meat loaf made with beef and pork, with tomato-based sauce",6.75,13.64,8.14
"Hash, NS as to type of meat",9.27,8.73,10.24
"Vienna sausages stewed with potatoes, Puerto Rican style",13.07,5.08,16.36
Liver dumpling,12.78,23.11,15.48
"Breaded brains, Puerto Rican style",17.35,10.14,14.72
"Stewed, seasoned, ground beef and pork with potatoes, Mexican style",4.19,12.84,8.03
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",13.46,6.93,5.15
"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",14.97,6.97,5.1
"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",13.73,4.76,6.0
"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",15.35,4.84,5.38
"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",8.24,5.23,3.98
"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",8.48,6.64,2.36
"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",8.58,6.22,2.21
"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",8.46,6.77,2.41
Shepherd's pie with beef,14.1,6.35,3.15
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",11.17,5.23,7.16
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",12.36,5.3,6.34
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",11.13,5.28,7.05
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",12.2,5.33,6.68
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",11.13,5.33,6.96
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",12.28,5.39,6.56
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",11.82,8.14,5.43
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",12.97,8.17,5.43
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",6.08,11.77,8.83
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",5.86,11.69,8.81
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",16.71,8.71,5.19
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",18.29,8.78,4.91
Beef chow mein or chop suey with noodles,11.17,10.78,4.89
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",7.72,10.34,7.59
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",7.49,10.32,7.64
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",13.74,6.74,5.06
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",14.86,6.77,5.07
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",13.58,6.6,5.05
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",14.63,6.63,5.01
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",13.81,6.65,5.04
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",14.94,6.68,5.05
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",18.38,7.54,4.86
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",20.0,7.62,4.29
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",14.9,5.85,5.4
"Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",16.08,5.91,4.99
Stuffed cabbage rolls with beef and rice,8.63,8.41,5.0
Stuffed grape leaves with beef and rice,11.32,7.83,18.37
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",14.69,5.78,5.21
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",15.73,5.81,5.22
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",15.54,8.58,5.51
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",15.85,8.18,5.24
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",15.01,5.77,5.18
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",16.13,5.8,5.18
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",8.03,10.59,7.71
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",7.8,10.79,7.96
Beef pot pie,17.09,7.99,13.5
"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",11.59,6.09,6.29
"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",12.75,6.13,6.09
"Stuffed green pepper, Puerto Rican style",15.56,8.63,7.23
Ham pot pie,18.48,7.99,14.16
"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",18.31,8.42,4.91
"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",16.74,8.35,5.19
"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",15.32,9.18,6.42
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",13.44,6.55,5.43
"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",13.75,6.48,5.02
"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",15.34,5.26,5.69
"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",14.19,5.22,5.69
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",11.27,5.06,7.07
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",12.28,5.12,6.64
"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",11.61,3.73,7.53
"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",12.78,3.78,7.12
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",11.22,4.98,6.84
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",12.37,5.03,6.43
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",14.94,6.59,5.44
Pork chow mein or chop suey with noodles,11.17,10.41,6.38
"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",8.03,9.99,7.9
"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",7.8,10.17,8.15
"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",14.96,5.61,5.07
"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",16.08,5.64,5.07
"Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",15.02,5.56,5.06
"Ham, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",13.4,5.47,5.9
Sweet and sour pork with rice,19.75,10.12,7.12
Shepherd's pie with lamb,13.08,7.12,5.07
"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",11.66,8.8,2.28
"Lamb or mutton, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",16.34,5.05,5.51
"Lamb or mutton, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",15.15,5.13,5.31
"Lamb or mutton, rice, and vegetables  including carrots, broccoli, and/or dark-green leafy; gravy",15.2,5.02,5.5
"Lamb or mutton stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",11.92,9.31,2.31
Stuffed grape leaves with lamb and rice,11.91,8.17,21.52
"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",11.66,8.25,1.89
"Lamb or mutton stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",11.91,8.75,1.92
"Veal fricassee, Puerto Rican style",7.24,16.36,8.1
"Veal stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",7.07,6.35,2.77
"Veal stew with potatoes and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",8.53,6.18,2.59
Rabbit stew with potatoes and vegetables,4.44,6.97,1.81
"Stewed rabbit, Puerto Rican style,",6.83,17.14,12.7
"Venison or deer stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",8.39,7.52,0.82
"Venison or deer stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",8.38,7.79,0.84
"Venison or deer, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",11.17,5.95,6.5
"Venison or deer, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",12.31,6.01,6.1
"Venison or deer, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",13.64,7.43,5.11
"Venison or deer, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",14.75,7.47,5.11
"Chicken or turkey, potatoes, corn, and cheese, with gravy",13.22,4.55,6.2
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",13.29,6.16,5.97
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",14.81,6.21,5.7
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",11.17,4.72,6.82
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",12.27,4.75,6.82
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",11.09,4.79,7.11
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",12.15,4.84,6.74
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",11.71,7.54,5.93
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",12.86,7.57,5.93
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",11.09,4.81,7.02
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",12.18,4.84,7.03
"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",7.85,6.08,2.33
"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",8.68,6.57,2.27
"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",9.05,6.33,2.41
"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato- based sauce",9.83,6.82,2.34
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",16.59,7.95,5.46
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",18.11,8.0,5.41
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",13.69,6.08,5.62
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",14.86,6.13,5.2
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",13.46,6.06,5.62
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",14.5,6.09,5.63
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",13.58,6.16,5.84
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",14.69,6.19,5.84
Chicken or turkey chow mein or chop suey with noodles,11.15,9.91,5.43
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",14.16,8.9,5.97
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",15.32,8.93,5.97
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",18.2,6.78,5.47
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",19.78,6.85,4.96
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",14.89,5.21,5.66
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",16.03,5.25,5.46
"Chicken or turkey, rice, corn, and cheese, with gravy",14.37,5.66,7.96
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",8.07,9.4,6.93
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",7.84,9.56,7.15
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",14.58,5.26,5.66
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",15.67,5.31,5.28
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",15.54,8.05,5.15
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",16.69,8.09,5.16
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",14.84,5.32,5.47
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",15.94,5.35,5.48
Chicken or turkey pot pie,19.21,5.11,11.85
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",13.28,7.12,8.74
"Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce",14.85,7.17,8.75
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",11.27,5.46,7.18
"Chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",11.81,5.22,6.82
